"date","trend"
2020-03-18,0.424468177377885
2020-03-19,0.957710214297001
2020-03-20,1.74221529802212
2020-03-21,3.37918519557706
2020-03-22,4.66142116444833
2020-03-23,7.64500530127155
2020-03-24,10.4933635567568
2020-03-25,14.4957730071258
2020-03-26,19.7396487421908
2020-03-27,23.6050092721151
2020-03-28,30.3098073131
2020-03-29,31.1536870834938
2020-03-30,40.1346468015977
2020-03-31,38.5075496726888
2020-04-01,40.0406327431916
2020-04-02,42.6208436279838
2020-04-03,46.080836566672
2020-04-04,48.6730198280897
2020-04-05,49.2508874546016
2020-04-06,55.025158362242
2020-04-07,66.0752134077831
2020-04-08,74.2236841306313
2020-04-09,89.4554683934768
2020-04-10,94.8792505560132
2020-04-11,106.297399315528
2020-04-12,107.971264653547
2020-04-13,116.267160863777
2020-04-14,116.26905520034
2020-04-15,115.760327078184
2020-04-16,136.040504190255
2020-04-17,144.220971204886
2020-04-18,153.933150179298
2020-04-19,159.513028485916
2020-04-20,169.895832090604
2020-04-21,185.070523066264
2020-04-22,188.283618423111
2020-04-23,197.877383400682
2020-04-24,193.269263898176
2020-04-25,199.620482943407
2020-04-26,211.355135254595
2020-04-27,224.467298268247
2020-04-28,228.322993845156
2020-04-29,263.980634568022
2020-04-30,258.189319108941
2020-05-01,261.740249614619
2020-05-02,248.971758302155
2020-05-03,251.822895440005
2020-05-04,247.985835303857
2020-05-05,219.422164548861
2020-05-06,193.325865060793
2020-05-07,186.449786026164
2020-05-08,183.806354919671
