"date","trend"
2020-03-18,0.211018613163095
2020-03-19,0.628081562639482
2020-03-20,1.32791396369139
2020-03-21,2.49327881193713
2020-03-22,4.13726161091105
2020-03-23,6.23854768979914
2020-03-24,8.74728514826511
2020-03-25,11.8882320465894
2020-03-26,15.4526037349238
2020-03-27,19.7436390135758
2020-03-28,24.1122244618331
2020-03-29,27.9236022775801
2020-03-30,30.9568106718302
2020-03-31,33.044216660266
2020-04-01,34.5936992561672
2020-04-02,35.8478750669215
2020-04-03,37.0892578678801
2020-04-04,38.9891203212051
2020-04-05,42.6064872035406
2020-04-06,47.6204421946326
2020-04-07,54.1659111545024
2020-04-08,62.0138655912618
2020-04-09,71.201739577841
2020-04-10,79.5086308897042
2020-04-11,85.7769954390251
2020-04-12,89.2991323569798
2020-04-13,91.645967945946
2020-04-14,93.1927580756799
2020-04-15,97.1878087555635
2020-04-16,103.247276564553
2020-04-17,111.600970426013
2020-04-18,121.600126430392
2020-04-19,130.976106186282
2020-04-20,138.640901456791
2020-04-21,145.089479527436
2020-04-22,150.087416218678
2020-04-23,154.395761170272
2020-04-24,159.248270043551
2020-04-25,163.668874778703
2020-04-26,168.703644805433
2020-04-27,175.855157190182
2020-04-28,184.831574467909
2020-04-29,194.56117151685
2020-04-30,203.403547159496
2020-05-01,212.967431506004
2020-05-02,222.148177401348
2020-05-03,231.807446379702
2020-05-04,240.181483105195
2020-05-05,246.83560903142
2020-05-06,253.026441695854
2020-05-07,260.770418034034
2020-05-08,268.967086685791
2020-05-09,273.220745901918
2020-05-10,274.940730235933
2020-05-11,273.245997888282
2020-05-12,268.714413958199
2020-05-13,260.157730920704
2020-05-14,252.098748729452
2020-05-15,241.124794782191
2020-05-16,229.610374787339
2020-05-17,219.594198110399
2020-05-18,209.469986656503
2020-05-19,202.006337197085
