"date","trend"
2020-03-18,0.471040742143527
2020-03-19,0.979406610634529
2020-03-20,1.68909430891262
2020-03-21,3.00907929392678
2020-03-22,5.2187394712004
2020-03-23,7.3384609668263
2020-03-24,10.5606263682486
2020-03-25,15.2753998805493
2020-03-26,18.3484215864264
2020-03-27,24.9959835395153
2020-03-28,29.04308485887
2020-03-29,34.0348523518123
2020-03-30,35.9888193731131
2020-03-31,39.6740621989263
2020-04-01,43.7974917773795
2020-04-02,42.4651653223147
2020-04-03,44.1310735707391
2020-04-04,48.9219309008291
2020-04-05,52.9824535800155
2020-04-06,57.6445985587509
2020-04-07,63.9674165681496
2020-04-08,74.9015234483451
2020-04-09,86.7196890809265
2020-04-10,94.1036780293293
2020-04-11,103.426473596444
2020-04-12,112.973574080158
2020-04-13,113.851973118891
2020-04-14,112.483211705626
2020-04-15,115.795064542055
2020-04-16,128.165347746494
2020-04-17,133.052467631443
2020-04-18,146.512574940471
2020-04-19,153.209855014463
2020-04-20,172.303317582788
2020-04-21,167.972503793654
2020-04-22,180.090885145911
2020-04-23,188.331115436978
2020-04-24,197.90488082887
2020-04-25,201.782247462677
2020-04-26,201.930801854089
2020-04-27,205.205810838285
2020-04-28,223.23548418384
2020-04-29,224.993731798851
2020-04-30,229.675908199758
2020-05-01,238.785940856285
2020-05-02,239.913983513859
2020-05-03,232.723867952839
2020-05-04,232.065557812126
2020-05-05,221.788728954643
2020-05-06,219.837044546226
2020-05-07,221.606488155788
2020-05-08,237.687397507545
2020-05-09,282.350686449639
2020-05-10,285.306403270086
2020-05-11,331.403654371179
2020-05-12,358.469767985429
