,new_cases,new_hospitalizations,new_deaths,report_date,day_of_week,low_day,trend,pred,dow,slope
0,2,0,0,2020-03-18,Wednesday,0,0.21720361123806642,0.41687298041199305,0.018211543900046534,0.2131474528258006
1,2,0,0,2020-03-19,Thursday,0,0.6426724048671855,0.8922495272900266,0.004693176172990032,0.34093544153744215
2,0,-2,0,2020-03-20,Friday,0,1.3558484786711533,1.7117357328082563,0.006963632435741829,0.4255676017621757
3,6,0,0,2020-03-21,Saturday,0,2.5424918704635866,3.247172722099304,0.017062825553120886,0.49488387106313203
4,9,1,1,2020-03-22,Sunday,0,4.210104206553963,5.062037513372559,0.01420482185049532,0.46729426285358877
5,12,3,0,2020-03-23,Monday,0,6.32783398996085,7.423812387749335,0.015638778571599232,0.40793826621490914
6,3,0,0,2020-03-24,Tuesday,0,8.865858944654963,9.419019165551909,-0.08268874694861927,0.34780986053390395
7,30,4,0,2020-03-25,Wednesday,0,12.026398633989759,14.67044101101157,0.0434314737244732,0.3205121233671471
8,3,0,0,2020-03-26,Thursday,0,15.606242039607881,17.976707555643735,-0.03039842837548279,0.27556475419844384
9,45,3,0,2020-03-27,Friday,0,20.014830949572094,24.413774974615862,0.03791108142052235,0.2649152582736216
10,32,4,1,2020-03-28,Saturday,0,24.283752156074762,28.61011498930627,0.011510977049505877,0.20405223643955295
11,31,-1,0,2020-03-29,Sunday,0,27.992238753765324,32.759949303056096,0.008414654621553552,0.14625631782955173
12,37,0,0,2020-03-30,Monday,0,30.834880308117864,36.64206040831887,0.02620117473240402,0.09768973418089999
13,20,2,0,2020-03-31,Tuesday,0,32.868725614318684,34.97216381683374,-0.08546008804972349,0.0644831141690474
14,44,15,3,2020-04-01,Wednesday,0,34.510697267760285,41.740360202599796,0.031144367138065565,0.048960176526906984
15,40,10,0,2020-04-02,Thursday,0,35.74174852200381,39.18178178452052,-0.02391380865801751,0.03459565380143137
16,44,15,0,2020-04-03,Friday,0,36.907589331526175,42.62946049257228,0.03864733342586146,0.03186661813970826
17,15,1,1,2020-04-04,Saturday,0,38.81059117662221,45.20899563119298,0.008462130390348266,0.0490048420056719
18,39,25,0,2020-04-05,Sunday,0,42.51854196811264,49.75372477090924,0.0041365659819563305,0.09262202816474163
19,62,36,0,2020-04-06,Monday,0,47.83400964653476,56.22347741934852,0.03277550622903802,0.12211853340457157
20,44,23,3,2020-04-07,Tuesday,0,54.36861518715132,58.42080355826265,-0.07637809971144638,0.13443651901767129
21,38,9,0,2020-04-08,Wednesday,0,62.56477754520285,71.2524881907997,0.012772446216166689,0.14879518995391883
22,120,15,7,2020-04-09,Thursday,0,72.23006126842355,81.73569034289474,-0.01739898720732236,0.15031337053772886
23,87,31,3,2020-04-10,Friday,0,80.81688360726693,99.03631370247682,0.034969468335690035,0.11729352233172108
24,169,2,1,2020-04-11,Saturday,0,87.52523544230306,99.86272452819496,0.021074977047896182,0.0818237875495349
25,62,10,0,2020-04-12,Sunday,0,91.05234920802181,103.62808387457633,-0.004240635602608678,0.039651419887074546
26,156,9,1,2020-04-13,Monday,0,93.6082500988949,109.9976924441697,0.03424409451697841,0.028487648361483986
27,43,17,0,2020-04-14,Tuesday,0,95.29090618291539,102.49469325061028,-0.07473030596794128,0.01758403156410626
28,91,21,9,2020-04-15,Wednesday,0,98.99883493007435,114.09767766536653,0.015145223764017945,0.03974355212894087
29,77,15,1,2020-04-16,Thursday,0,105.41258843239547,120.09758997765184,-0.027449224044687193,0.06396830521503438
30,101,14,6,2020-04-17,Friday,0,114.11763152135126,136.8810628967766,0.0365228881657107,0.0816892176703441
31,157,24,6,2020-04-18,Saturday,0,124.14012433550211,153.31207163969574,0.022740662705731385,0.08731992991185145
32,176,25,5,2020-04-19,Sunday,0,133.48155246290614,152.37822579205326,0.0051164412204018905,0.07447688598752844
33,116,28,9,2020-04-20,Monday,0,141.1455181484354,161.150450458599,0.014937515393812273,0.05824867059509997
34,152,17,7,2020-04-21,Tuesday,0,148.0330061033123,162.60477530050628,-0.05282951130606339,0.04811045154591009
35,179,26,2,2020-04-22,Wednesday,0,152.794003311205,180.01469031462952,0.006284177888869147,0.03314575049130619
36,106,26,10,2020-04-23,Thursday,0,156.53320504797398,177.78364112490308,-0.03613189283295992,0.024613915781293683
37,172,24,9,2020-04-24,Friday,0,161.26617977960686,192.59784613039258,0.04658499957068818,0.029746318862089227
38,211,26,5,2020-04-25,Saturday,0,166.4515839191029,197.69117276927017,0.01663166301114516,0.030843023088122923
39,144,28,5,2020-04-26,Sunday,0,170.2952207367825,199.26952248939944,0.009234087134013302,0.02287885893164776
40,113,13,5,2020-04-27,Monday,0,175.28091211326927,206.51891341232292,0.0075135918974680305,0.028079108073152836
41,276,33,14,2020-04-28,Tuesday,0,183.97785920274617,206.82959611031345,-0.036887802906331424,0.04856889114925256
42,170,30,10,2020-04-29,Wednesday,0,192.26391765811695,219.98532589752406,-0.007869162844266864,0.04559778424878447
43,163,21,10,2020-04-30,Thursday,0,201.09669624949882,225.15615724166804,-0.03729637308131317,0.046312852481542155
44,286,37,3,2020-05-01,Friday,0,210.656488700429,258.2781227773187,0.0571200417076283,0.04828657251379709
45,149,43,16,2020-05-02,Saturday,0,220.18359793345303,252.5895781857453,0.005978878364169216,0.04393588528791348
46,294,53,31,2020-05-03,Sunday,0,229.6691038930797,273.6159725721903,0.01324507550035614,0.04216461756514045
47,275,32,14,2020-05-04,Monday,0,238.09121603481668,279.38261083126935,0.012112238349252236,0.0341383398589572
