"date","trend"
2020-03-18,0.441512338987784
2020-03-19,0.93129714533915
2020-03-20,1.72107052505689
2020-03-21,3.18373968696778
2020-03-22,4.9419836351347
2020-03-23,7.1173592492099
2020-03-24,10.0805275235561
2020-03-25,13.6320237981965
2020-03-26,18.2359915142265
2020-03-27,24.4522727114218
2020-03-28,29.0918297831667
2020-03-29,31.9918800454476
2020-03-30,35.9733615201396
2020-03-31,40.7453594084854
2020-04-01,40.7165264669725
2020-04-02,42.7361252157911
2020-04-03,46.4876511098622
2020-04-04,50.5973095495161
2020-04-05,51.8687912500097
2020-04-06,60.9096884395746
2020-04-07,67.4224404457425
2020-04-08,80.4036242134708
2020-04-09,92.3931218930295
2020-04-10,93.9618388849874
2020-04-11,110.162714545627
2020-04-12,103.908336492894
2020-04-13,109.522096271164
2020-04-14,113.67367329239
2020-04-15,120.634366928779
2020-04-16,134.76061916659
2020-04-17,146.210103737331
2020-04-18,154.813594219837
2020-04-19,158.253655636446
2020-04-20,176.334492278944
2020-04-21,188.724858191973
2020-04-22,192.337042550297
2020-04-23,190.074703500168
2020-04-24,206.879375071794
2020-04-25,200.361810655047
2020-04-26,217.668817573096
2020-04-27,215.812438609076
2020-04-28,229.065469289104
2020-04-29,241.967878350902
2020-04-30,229.695281405365
2020-05-01,248.992429600941
2020-05-02,241.464045886676
2020-05-03,245.261192819884
2020-05-04,231.429655092777
2020-05-05,232.393549019339
2020-05-06,222.478629577802
2020-05-07,213.960987765969
2020-05-08,246.101512062052
2020-05-09,265.221370342488
2020-05-10,277.969259232873
