"date","trend","trend_hosp","trend_dead"
2020-03-18,0.180256145783454,0.0262945677199715,0.00441515642078794
2020-03-19,0.554227429012528,0.0751768570984186,0.0120927838947258
2020-03-20,1.18052463028822,0.148561644108345,0.0236210650007718
2020-03-21,2.18902067632899,0.246211400547236,0.0377435043464784
2020-03-22,3.66091762003743,0.37042845927101,0.0529404120882928
2020-03-23,5.619247122861,0.522235762467472,0.070440552985614
2020-03-24,8.08398292072026,0.708869354015313,0.0905590585222826
2020-03-25,11.1522133313919,0.934773170466525,0.113770138035122
2020-03-26,14.6939023503781,1.20012586533492,0.140268113493396
2020-03-27,18.8628266797537,1.51834876603067,0.17050283473717
2020-03-28,23.0198553435104,1.90155562926134,0.205882335124069
2020-03-29,26.818343911175,2.36045588518086,0.244492182608273
2020-03-30,30.0397975093926,2.9145537621563,0.289334497928435
2020-03-31,32.6050036192985,3.58261963474104,0.340372786742717
2020-04-01,34.7043744772534,4.37030848082059,0.397084345265442
2020-04-02,36.4311165411775,5.25554493995771,0.461398221328411
2020-04-03,38.3795004837256,6.22380173867026,0.535951094436493
2020-04-04,40.8416855528776,7.25143362667527,0.621348535375817
2020-04-05,44.5145723992978,8.33060924685081,0.71762090018052
2020-04-06,49.3855340027395,9.40799408727652,0.828564872856953
2020-04-07,55.1613016178414,10.4195328830851,0.950124469993386
2020-04-08,62.1694500282698,11.3430432161146,1.08663930371488
2020-04-09,69.8815226765379,12.2117983758054,1.23748911996595
2020-04-10,77.3509347388407,13.0367384167946,1.40513746547146
2020-04-11,83.5396223975323,13.8239879621908,1.58659937361045
2020-04-12,88.1343703355373,14.6361364345878,1.79336675615657
2020-04-13,92.0225346390556,15.4940851690236,2.03566942097391
2020-04-14,95.5155055069169,16.377010739,2.31980313688542
2020-04-15,100.0036596785,17.2844870435332,2.64417709040695
2020-04-16,105.539403078642,18.2120026069045,3.00450529559684
2020-04-17,112.841254854191,19.1807301376443,3.39904440540433
2020-04-18,121.025411871631,20.1667389103293,3.81859254760015
2020-04-19,129.454276576092,21.1694827066046,4.25762288380423
2020-04-20,137.13681675439,22.1349256182227,4.69948463831053
2020-04-21,144.188497980943,23.0111571772168,5.13378523085885
2020-04-22,149.933669251973,23.8603446712395,5.564004124549
2020-04-23,154.937558500858,24.6603472804373,6.00415722642397
2020-04-24,160.290133462213,25.3980161328306,6.42423926430476
2020-04-25,165.603850764789,26.0955158011008,6.81424453224643
2020-04-26,171.144736076597,26.7147710981537,7.18544695520747
2020-04-27,177.83173979776,27.2672520763263,7.52476704580432
2020-04-28,185.922452684252,27.768119641559,7.82320055358162
2020-04-29,194.101836356449,28.1593837752611,8.05872481574539
2020-04-30,201.703492259479,28.4464291679007,8.24395386698945
2020-05-01,209.879468615364,28.5649628325591,8.37026606030765
2020-05-02,217.43223296763,28.52282650784,8.44231035540555
2020-05-03,225.888648528886,28.2848489764213,8.41929294142798
2020-05-04,233.275868527525,27.8418220260913,8.31343128925564
2020-05-05,240.321811189592,27.2927183060545,8.15369482538173
2020-05-06,246.566052104451,26.7152177414547,7.97324910928322
2020-05-07,252.547859889613,26.0968686037959,7.78550956306401
2020-05-08,257.36121917106,25.4746467010866,7.59553146082772
2020-05-09,261.188922137087,24.80866338814,7.39753213248737
2020-05-10,262.829928632856,24.1466571607257,7.20411048083057
2020-05-11,261.874376103198,23.4684777925412,7.0156879013815
2020-05-12,257.710673950003,22.7676289460896,6.84626154941343
2020-05-13,251.505663016316,22.0627760461395,6.68962920452358
2020-05-14,244.160021888068,21.3389243363351,6.54698634741075
2020-05-15,236.919355156044,20.635302064188,6.42408823587941
2020-05-16,231.347341937084,19.9328227596384,6.31770822098435
2020-05-17,226.851853981009,19.2186249050678,6.23085973121255
2020-05-18,224.927570151111,18.4986087399098,6.15568678939391
2020-05-19,227.10473199635,17.7759013608198,6.09587842824543
2020-05-20,233.708318069556,17.0584798687029,6.04345695174933
2020-05-21,243.250886712961,16.3727930965559,5.97219525291244
2020-05-22,254.503305649694,15.7249118276078,5.88731541180226
2020-05-23,268.029747621033,15.114428559699,5.77766046969549
2020-05-24,282.291347822517,14.6007017017761,5.65806577983382
2020-05-25,291.813231545005,14.194781897698,5.51560157140714
2020-05-26,292.969412417906,13.8400674826692,5.35551735713623
2020-05-27,284.003588988586,13.5397525502455,5.16294837915685
2020-05-28,269.82466405604,13.2882764739696,4.9226108776942
2020-05-29,250.387235740505,13.0988183391694,4.64853901496383
2020-05-30,229.88288020416,12.9531810010389,4.35573335333895
2020-05-31,212.54867821944,12.796139501348,4.05804484262099
2020-06-01,198.52092423665,12.607707104201,3.77307103628116
2020-06-02,188.521707648297,12.3916728811493,3.49514327277164
2020-06-03,179.177842067845,12.1292907649704,3.22565021034808
2020-06-04,169.896153401617,11.8076551123053,2.96992091214767
2020-06-05,159.051294964341,11.4384734456253,2.71866771689168
2020-06-06,147.500077743959,11.0357955705058,2.48063996954952
2020-06-07,134.203575118389,10.6405407466608,2.26386116915156
2020-06-08,118.418120305101,10.2485121256171,2.07418832343739
2020-06-09,102.651456058732,9.88655998373025,1.9180860573174
2020-06-10,88.5606819703413,9.55450362128453,1.79388197249621
2020-06-11,77.1218798230441,9.25796266930009,1.69942457845151
2020-06-12,68.3685092993605,8.99332621517163,1.63253669543533
2020-06-13,61.6490353699166,8.78813823647645,1.59522238668266
2020-06-14,56.3982886916169,8.61555646871742,1.59010189974437
2020-06-15,52.186852638673,8.45120173394118,1.61613110259439
2020-06-16,49.4702393130877,8.27517105240339,1.67610566644205
