,new_cases,new_hospitalizations,new_deaths,report_date,day_of_week,low_day,trend,pred,dow,slope
0,2,0,0,2020-03-18,Wednesday,0,0.2137715614391127,0.4041808801242033,0.019964389070324717,0.20976818711894518
1,2,0,0,2020-03-19,Thursday,0,0.640915627025133,0.888014294703332,0.0026601620560267047,0.34308165549487035
2,0,-2,0,2020-03-20,Friday,0,1.3623302671890882,1.7319789528428462,0.0067461462342961465,0.43060475940485876
3,6,0,0,2020-03-21,Saturday,0,2.549566760886513,3.1590254031957103,0.018661604161587908,0.4928888696999234
4,9,1,1,2020-03-22,Sunday,0,4.233980437490818,5.073571215169591,0.014367227420605477,0.47105414009192725
5,12,3,0,2020-03-23,Monday,0,6.359541178173055,7.586213059767649,0.022510850633568058,0.4074009089068966
6,3,0,0,2020-03-24,Tuesday,0,8.890049590813712,9.370875953722553,-0.08918162216431602,0.3455363593917906
7,30,4,0,2020-03-25,Wednesday,0,12.048080273464656,14.979989345831964,0.04634553332480418,0.3201466873296257
8,3,0,0,2020-03-26,Thursday,0,15.617802471111876,16.98768629347701,-0.037908657465591133,0.2752912812936328
9,45,3,0,2020-03-27,Friday,0,19.949577478594883,24.527973059977345,0.038969937733513094,0.260539620959058
10,32,4,1,2020-03-28,Saturday,0,24.30991981821875,28.82495421615391,0.0132111961408794,0.2073057696031022
11,31,-1,0,2020-03-29,Sunday,0,28.163426995615417,32.7100442820664,0.011839141206052561,0.1511274300963641
12,37,0,0,2020-03-30,Monday,0,31.101143122880593,37.850650717809096,0.028509320872289967,0.1000308219763486
13,20,2,0,2020-03-31,Tuesday,0,33.18337706580997,35.98864085068948,-0.08918523284151236,0.06453528852269375
14,44,15,3,2020-04-01,Wednesday,0,35.087958456393466,41.56959865323343,0.03297081008574909,0.05548200618075283
15,40,10,0,2020-04-02,Thursday,0,36.24279504011857,40.09246724330364,-0.02811071123401554,0.032689436716834885
16,44,15,0,2020-04-03,Friday,0,37.06120820913397,45.34017358818048,0.042030794774956304,0.02292147514924081
17,15,1,1,2020-04-04,Saturday,0,38.7820495595748,44.38219701724905,0.005840878111890602,0.044543979476433515
18,39,25,0,2020-04-05,Sunday,0,42.30211721812482,49.00283219540229,0.01082712688401588,0.0887167172975376
19,62,36,0,2020-04-06,Monday,0,47.497110580008446,55.10086934453182,0.03260827058248372,0.12014243846939343
20,44,23,3,2020-04-07,Tuesday,0,53.916582287191375,59.31416973166606,-0.08017494970978478,0.13337605673678077
21,38,9,0,2020-04-08,Wednesday,0,62.14249056686774,71.4462530626074,0.013179022985950306,0.15015162198403598
22,120,15,7,2020-04-09,Thursday,0,71.95589772014738,82.61628507230932,-0.01801305606338488,0.1563383595432184
23,87,31,3,2020-04-10,Friday,0,80.98736218069834,100.30837565267001,0.031736189636558665,0.12258171656626948
24,169,2,1,2020-04-11,Saturday,0,87.73088911922889,102.44800713313536,0.022114752519706515,0.08158671230178216
25,62,10,0,2020-04-12,Sunday,0,91.43547346639988,106.34625953922142,0.00012079746148119241,0.041835934832657795
26,156,9,1,2020-04-13,Monday,0,93.31219247865288,114.76437592334358,0.03507648964149013,0.020665480271440106
27,43,17,0,2020-04-14,Tuesday,0,94.5719782550782,100.6030753769462,-0.078197363297142,0.012311550197731336
28,91,21,9,2020-04-15,Wednesday,0,98.51338878392924,112.07560706029955,0.01742211407825578,0.04115692072255417
29,77,15,1,2020-04-16,Thursday,0,104.65342829389785,118.65140275607752,-0.029368793995791398,0.061915579822216626
30,101,14,6,2020-04-17,Friday,0,113.02725777460702,137.54484421239485,0.03510752911071924,0.07848281570137661
31,157,24,6,2020-04-18,Saturday,0,122.90882371748182,143.6787885559656,0.023173133447174088,0.08760324862820879
32,176,25,5,2020-04-19,Sunday,0,132.31033408388623,157.53341525215612,0.008725261035470222,0.07406327748929287
33,116,28,9,2020-04-20,Monday,0,139.85486656372433,164.25749269370976,0.015407230744712397,0.057613200645605156
34,152,17,7,2020-04-21,Tuesday,0,146.75879948968827,158.07556052629405,-0.057284465593774314,0.04832330968310128
35,179,26,2,2020-04-22,Wednesday,0,152.151009882005,182.79084782589027,0.00623424087119373,0.036661067951116566
36,106,26,10,2020-04-23,Thursday,0,156.2581051872622,170.30598909412313,-0.03563563083035637,0.026832782624018447
37,172,24,9,2020-04-24,Friday,0,160.70477881611706,194.25374208154625,0.04380227212420129,0.030442034542401464
38,211,26,5,2020-04-25,Saturday,0,165.37978121958554,190.42708445048157,0.022430552636892642,0.030264856446321486
39,144,28,5,2020-04-26,Sunday,0,170.59742955614834,193.83599159706995,0.013447583060597124,0.03106974628487813
40,113,13,5,2020-04-27,Monday,0,176.44236573857626,200.53434429274589,0.0038050535429317023,0.033842889069646276
41,276,33,14,2020-04-28,Tuesday,0,184.60881623325483,200.00284222725554,-0.04412105967181468,0.045248943719963464
42,170,30,10,2020-04-29,Wednesday,0,191.54582347352297,221.49919036333958,-0.001427475886895846,0.038215449011298475
43,163,21,10,2020-04-30,Thursday,0,199.3956351157884,217.4284799483893,-0.03701488997840874,0.04119924966546762
44,286,37,3,2020-05-01,Friday,0,208.4738841357128,247.3229932799457,0.05099652190834614,0.04475766532147896
45,149,43,16,2020-05-02,Saturday,0,217.23804487020257,252.8871613093037,0.00972013200852051,0.04150105943475291
46,294,53,31,2020-05-03,Sunday,0,227.4194096937807,267.3364368141632,0.021281730397961773,0.04558122656583752
47,275,32,14,2020-05-04,Monday,0,234.91940802270153,279.09068287042413,0.009446438665826173,0.031938204197531794
