,state,date,trend
0,Alabama,2020-03-01,0.02980184939045394
1,Alabama,2020-03-02,0.016061387851022735
2,Alabama,2020-03-03,-0.002503693911723226
3,Alabama,2020-03-04,-0.0288396732523023
4,Alabama,2020-03-05,-0.05709893569686986
5,Alabama,2020-03-06,-0.0760052616608391
6,Alabama,2020-03-07,-0.06407515765293526
7,Alabama,2020-03-08,-0.016951564166176714
8,Alabama,2020-03-09,0.08079311370162334
9,Alabama,2020-03-10,0.2569316192924651
10,Alabama,2020-03-11,0.5817062016604033
11,Alabama,2020-03-12,1.1964665208994978
12,Alabama,2020-03-13,2.3268516384531477
13,Alabama,2020-03-14,4.016174915247006
14,Alabama,2020-03-15,6.1380724703836345
15,Alabama,2020-03-16,8.50079777409881
16,Alabama,2020-03-17,11.30885194217895
17,Alabama,2020-03-18,14.675249065597885
18,Alabama,2020-03-19,18.807674030755127
19,Alabama,2020-03-20,23.492151177501796
20,Alabama,2020-03-21,29.22915591327783
21,Alabama,2020-03-22,36.91116157368889
22,Alabama,2020-03-23,47.92531024357415
23,Alabama,2020-03-24,62.48365874322204
24,Alabama,2020-03-25,78.68200702424627
25,Alabama,2020-03-26,90.93299289840104
26,Alabama,2020-03-27,97.34585755465497
27,Alabama,2020-03-28,100.9890360736851
28,Alabama,2020-03-29,103.59093909248584
29,Alabama,2020-03-30,106.0363536219861
30,Alabama,2020-03-31,109.70110991436253
31,Alabama,2020-04-01,118.55684486605404
32,Alabama,2020-04-02,132.6661263689233
33,Alabama,2020-04-03,148.91610908156102
34,Alabama,2020-04-04,163.25739564162888
35,Alabama,2020-04-05,180.0809126774035
36,Alabama,2020-04-06,198.34017177275538
37,Alabama,2020-04-07,216.9982603095609
38,Alabama,2020-04-08,231.6565960934148
39,Alabama,2020-04-09,240.06014074364856
40,Alabama,2020-04-10,242.42120893922504
41,Alabama,2020-04-11,244.24402297828027
42,Alabama,2020-04-12,239.83961741671664
43,Alabama,2020-04-13,227.62864017001877
44,Alabama,2020-04-14,212.13660386866516
45,Alabama,2020-04-15,199.00772253067305
46,Alabama,2020-04-16,188.1991872000746
47,Alabama,2020-04-17,183.17021932459605
48,Alabama,2020-04-18,183.7151847021104
49,Alabama,2020-04-19,189.67660261910905
50,Alabama,2020-04-20,199.0556998176187
51,Alabama,2020-04-21,207.3766994728436
52,Alabama,2020-04-22,209.86110784533403
53,Alabama,2020-04-23,206.34818379206394
54,Alabama,2020-04-24,199.43818064226087
55,Alabama,2020-04-25,191.87180488013848
56,Alabama,2020-04-26,185.07696805635723
57,Alabama,2020-04-27,179.82098773862074
58,Alabama,2020-04-28,179.4588042773725
59,Alabama,2020-04-29,183.71255109229085
60,Alabama,2020-04-30,195.25727554485627
61,Alabama,2020-05-01,215.87814961066368
62,Alabama,2020-05-02,239.70011462173807
63,Alabama,2020-05-03,259.0649287562248
64,Alabama,2020-05-04,271.61271046857513
65,Alabama,2020-05-05,280.4649051633597
66,Alabama,2020-05-06,286.9887215550014
67,Alabama,2020-05-07,293.1349338962744
68,Alabama,2020-05-08,295.1380331682798
69,Alabama,2020-05-09,291.0675769372689
70,Alabama,2020-05-10,285.78637117439405
71,Alabama,2020-05-11,279.8930328887245
72,Alabama,2020-05-12,274.1441256295003
73,Alabama,2020-05-13,269.9699030971718
74,Alabama,2020-05-14,268.84568587694605
75,Alabama,2020-05-15,265.414252892907
76,Alabama,2020-05-16,259.9743922462683
77,Alabama,2020-05-17,261.0942118175586
78,Alabama,2020-05-18,277.11160689747925
79,Alabama,2020-05-19,300.95801288503594
80,Alabama,2020-05-20,326.2626867005784
81,Alabama,2020-05-21,339.87444837190094
82,Alabama,2020-05-22,352.2248449616562
83,Alabama,2020-05-23,378.0637722926069
84,Alabama,2020-05-24,408.8271740500262
85,Alabama,2020-05-25,432.06723563629026
86,Alabama,2020-05-26,440.4445662378345
87,Alabama,2020-05-27,433.70590592877215
88,Alabama,2020-05-28,425.4982684247504
0,Alaska,2020-03-01,-0.06585616322414467
1,Alaska,2020-03-02,-0.06516526117226917
2,Alaska,2020-03-03,-0.062284643058183264
3,Alaska,2020-03-04,-0.05582103533245231
4,Alaska,2020-03-05,-0.04473324825461833
5,Alaska,2020-03-06,-0.027969231138645023
6,Alaska,2020-03-07,-0.00439744165915501
7,Alaska,2020-03-08,0.028114835238006952
8,Alaska,2020-03-09,0.07242909802999087
9,Alaska,2020-03-10,0.13395264571854226
10,Alaska,2020-03-11,0.21855010091681648
11,Alaska,2020-03-12,0.33202622314492114
12,Alaska,2020-03-13,0.4799168406744976
13,Alaska,2020-03-14,0.6758714785735593
14,Alaska,2020-03-15,0.935176964186359
15,Alaska,2020-03-16,1.2691903624973362
16,Alaska,2020-03-17,1.6817443815564213
17,Alaska,2020-03-18,2.1759981062074685
18,Alaska,2020-03-19,2.759502020739363
19,Alaska,2020-03-20,3.4429560761309954
20,Alaska,2020-03-21,4.240927982868303
21,Alaska,2020-03-22,5.149670628891654
22,Alaska,2020-03-23,6.172412698185229
23,Alaska,2020-03-24,7.239515411586648
24,Alaska,2020-03-25,8.29179584204637
25,Alaska,2020-03-26,9.220777691262867
26,Alaska,2020-03-27,9.94518206270837
27,Alaska,2020-03-28,10.412887613870572
28,Alaska,2020-03-29,10.636500581733532
29,Alaska,2020-03-30,10.687987119158906
30,Alaska,2020-03-31,10.672676867842933
31,Alaska,2020-04-01,10.647699083430629
32,Alaska,2020-04-02,10.669214702332575
33,Alaska,2020-04-03,10.775975697087222
34,Alaska,2020-04-04,10.924616787775703
35,Alaska,2020-04-05,11.057235428464711
36,Alaska,2020-04-06,11.13099783811411
37,Alaska,2020-04-07,11.131417614137181
38,Alaska,2020-04-08,11.008007256230607
39,Alaska,2020-04-09,10.758050128059141
40,Alaska,2020-04-10,10.388544397685576
41,Alaska,2020-04-11,9.913769617135447
42,Alaska,2020-04-12,9.34210004264246
43,Alaska,2020-04-13,8.698115851017866
44,Alaska,2020-04-14,8.03917017084865
45,Alaska,2020-04-15,7.388524255053557
46,Alaska,2020-04-16,6.744300849044472
47,Alaska,2020-04-17,6.103730297899113
48,Alaska,2020-04-18,5.480459608372955
49,Alaska,2020-04-19,4.894393211259883
50,Alaska,2020-04-20,4.362488516165438
51,Alaska,2020-04-21,3.8941477342507413
52,Alaska,2020-04-22,3.4775832175919215
53,Alaska,2020-04-23,3.1184950004536294
54,Alaska,2020-04-24,2.833613392856749
55,Alaska,2020-04-25,2.633081082691224
56,Alaska,2020-04-26,2.511835723157923
57,Alaska,2020-04-27,2.4367434163936417
58,Alaska,2020-04-28,2.3736563733520537
59,Alaska,2020-04-29,2.3041215645888506
60,Alaska,2020-04-30,2.2285786871672055
61,Alaska,2020-05-01,2.1592681345797025
62,Alaska,2020-05-02,2.080101082719847
63,Alaska,2020-05-03,1.999689265222444
64,Alaska,2020-05-04,1.9198880493741366
65,Alaska,2020-05-05,1.8502677683226665
66,Alaska,2020-05-06,1.7988678881425066
67,Alaska,2020-05-07,1.7607255439918479
68,Alaska,2020-05-08,1.72566656601558
69,Alaska,2020-05-09,1.6956714081026165
70,Alaska,2020-05-10,1.6775264373699161
71,Alaska,2020-05-11,1.6722087745222698
72,Alaska,2020-05-12,1.6757545459080854
73,Alaska,2020-05-13,1.6848930575153651
74,Alaska,2020-05-14,1.704528950739066
75,Alaska,2020-05-15,1.7189582612802354
76,Alaska,2020-05-16,1.7260600983561347
77,Alaska,2020-05-17,1.7137872431753158
78,Alaska,2020-05-18,1.6837617546561203
79,Alaska,2020-05-19,1.658612147740322
80,Alaska,2020-05-20,1.6652128390241638
81,Alaska,2020-05-21,1.707309123424415
82,Alaska,2020-05-22,1.8043435923066924
83,Alaska,2020-05-23,1.9554605770646392
84,Alaska,2020-05-24,2.164421541017383
85,Alaska,2020-05-25,2.453899043611976
86,Alaska,2020-05-26,2.8294900822045967
87,Alaska,2020-05-27,3.2966199554266185
88,Alaska,2020-05-28,3.869372310874776
0,Arizona,2020-03-01,0.24363554259757358
1,Arizona,2020-03-02,0.27526144735535585
2,Arizona,2020-03-03,0.3215295608852158
3,Arizona,2020-03-04,0.3823048841156178
4,Arizona,2020-03-05,0.47932032530091906
5,Arizona,2020-03-06,0.5774674556757569
6,Arizona,2020-03-07,0.6304041693461204
7,Arizona,2020-03-08,0.6456114666544464
8,Arizona,2020-03-09,0.6505320035936051
9,Arizona,2020-03-10,0.6463071583441409
10,Arizona,2020-03-11,0.6321519705307028
11,Arizona,2020-03-12,0.6103974735851776
12,Arizona,2020-03-13,0.7029935418769324
13,Arizona,2020-03-14,1.0181758432180086
14,Arizona,2020-03-15,1.6307733970677054
15,Arizona,2020-03-16,2.7174652111107767
16,Arizona,2020-03-17,4.636800981537931
17,Arizona,2020-03-18,8.142879428264049
18,Arizona,2020-03-19,14.190274190354884
19,Arizona,2020-03-20,23.203017955085926
20,Arizona,2020-03-21,35.26630281191354
21,Arizona,2020-03-22,50.511142771711505
22,Arizona,2020-03-23,68.15666810874704
23,Arizona,2020-03-24,86.2883606131943
24,Arizona,2020-03-25,101.3718191044112
25,Arizona,2020-03-26,113.4076496798482
26,Arizona,2020-03-27,124.08658976443282
27,Arizona,2020-03-28,134.04397553990574
28,Arizona,2020-03-29,144.79640809027308
29,Arizona,2020-03-30,154.51099885030578
30,Arizona,2020-03-31,160.88265042521914
31,Arizona,2020-04-01,166.22003782648665
32,Arizona,2020-04-02,173.9363689027115
33,Arizona,2020-04-03,184.25339060500775
34,Arizona,2020-04-04,192.93416229620735
35,Arizona,2020-04-05,195.3339572378446
36,Arizona,2020-04-06,190.53633811259277
37,Arizona,2020-04-07,182.85195751198017
38,Arizona,2020-04-08,174.72189937962364
39,Arizona,2020-04-09,166.257179346321
40,Arizona,2020-04-10,159.03891039294174
41,Arizona,2020-04-11,156.82505146709008
42,Arizona,2020-04-12,157.61139388854068
43,Arizona,2020-04-13,161.95563640883708
44,Arizona,2020-04-14,169.37344006935152
45,Arizona,2020-04-15,180.32374103037392
46,Arizona,2020-04-16,192.51689923964238
47,Arizona,2020-04-17,201.587976105929
48,Arizona,2020-04-18,203.9850283683287
49,Arizona,2020-04-19,204.32659824816326
50,Arizona,2020-04-20,206.28690499596146
51,Arizona,2020-04-21,211.85428159078648
52,Arizona,2020-04-22,218.24244602352934
53,Arizona,2020-04-23,224.10164128623884
54,Arizona,2020-04-24,230.0429047948099
55,Arizona,2020-04-25,236.7560634695823
56,Arizona,2020-04-26,244.88639276305128
57,Arizona,2020-04-27,253.54558103609344
58,Arizona,2020-04-28,263.775322636356
59,Arizona,2020-04-29,277.6999359759213
60,Arizona,2020-04-30,295.0050189687332
61,Arizona,2020-05-01,312.97530890254296
62,Arizona,2020-05-02,334.18082035711024
63,Arizona,2020-05-03,353.35116110048295
64,Arizona,2020-05-04,362.7573641629729
65,Arizona,2020-05-05,358.8427177240892
66,Arizona,2020-05-06,344.3306865253479
67,Arizona,2020-05-07,328.58945138753637
68,Arizona,2020-05-08,320.05156042559236
69,Arizona,2020-05-09,314.32015668452755
70,Arizona,2020-05-10,315.4499652841951
71,Arizona,2020-05-11,330.3529365741137
72,Arizona,2020-05-12,355.49175384545146
73,Arizona,2020-05-13,383.612608281634
74,Arizona,2020-05-14,403.28233624892755
75,Arizona,2020-05-15,407.292813861966
76,Arizona,2020-05-16,399.9887107837953
77,Arizona,2020-05-17,387.0560537929779
78,Arizona,2020-05-18,369.62604930398976
79,Arizona,2020-05-19,350.3394120909911
80,Arizona,2020-05-20,330.7060411018435
81,Arizona,2020-05-21,317.61557316357244
82,Arizona,2020-05-22,312.4902049268911
83,Arizona,2020-05-23,313.92419631123397
84,Arizona,2020-05-24,317.9649549675537
85,Arizona,2020-05-25,323.1948515627775
86,Arizona,2020-05-26,331.8114829593576
87,Arizona,2020-05-27,346.3364935932255
88,Arizona,2020-05-28,363.2907401980353
0,Arkansas,2020-03-01,-0.25228119379824265
1,Arkansas,2020-03-02,-0.21109042496092467
2,Arkansas,2020-03-03,-0.16120382407245704
3,Arkansas,2020-03-04,-0.10126737208771164
4,Arkansas,2020-03-05,-0.026894264970915738
5,Arkansas,2020-03-06,0.06704012455979291
6,Arkansas,2020-03-07,0.18641123388965064
7,Arkansas,2020-03-08,0.33961067204678663
8,Arkansas,2020-03-09,0.5425500650778536
9,Arkansas,2020-03-10,0.8145984361868137
10,Arkansas,2020-03-11,1.177534276083584
11,Arkansas,2020-03-12,1.6559482044964655
12,Arkansas,2020-03-13,2.2756510552665503
13,Arkansas,2020-03-14,3.0863998549077722
14,Arkansas,2020-03-15,4.142873798503464
15,Arkansas,2020-03-16,5.525974147619129
16,Arkansas,2020-03-17,7.371169997230817
17,Arkansas,2020-03-18,9.887407371590285
18,Arkansas,2020-03-19,13.180648487647098
19,Arkansas,2020-03-20,17.20993066678312
20,Arkansas,2020-03-21,21.775652585100797
21,Arkansas,2020-03-22,26.557495594438752
22,Arkansas,2020-03-23,31.126015894065638
23,Arkansas,2020-03-24,35.05049031751177
24,Arkansas,2020-03-25,37.86957221295396
25,Arkansas,2020-03-26,39.56442245250493
26,Arkansas,2020-03-27,40.36683364204546
27,Arkansas,2020-03-28,40.57469606460016
28,Arkansas,2020-03-29,40.35807028772968
29,Arkansas,2020-03-30,39.89059093915861
30,Arkansas,2020-03-31,39.318857971520934
31,Arkansas,2020-04-01,38.87461134318084
32,Arkansas,2020-04-02,38.89680475820047
33,Arkansas,2020-04-03,39.77327718032798
34,Arkansas,2020-04-04,41.3752779293883
35,Arkansas,2020-04-05,43.68028033531045
36,Arkansas,2020-04-06,46.209839446072024
37,Arkansas,2020-04-07,48.67768020648177
38,Arkansas,2020-04-08,50.84180001545651
39,Arkansas,2020-04-09,52.627451629291585
40,Arkansas,2020-04-10,54.03541283585685
41,Arkansas,2020-04-11,55.22939636601955
42,Arkansas,2020-04-12,56.32140448097191
43,Arkansas,2020-04-13,57.35583944323015
44,Arkansas,2020-04-14,58.38680855888199
45,Arkansas,2020-04-15,59.93587557263922
46,Arkansas,2020-04-16,62.16829086668389
47,Arkansas,2020-04-17,65.4403925405435
48,Arkansas,2020-04-18,69.67919907889456
49,Arkansas,2020-04-19,74.86711323426248
50,Arkansas,2020-04-20,81.48140900769882
51,Arkansas,2020-04-21,88.22037586341081
52,Arkansas,2020-04-22,93.5699223969245
53,Arkansas,2020-04-23,96.62309431327982
54,Arkansas,2020-04-24,96.59273783612284
55,Arkansas,2020-04-25,93.48860071663027
56,Arkansas,2020-04-26,88.16162840300971
57,Arkansas,2020-04-27,81.88697553620588
58,Arkansas,2020-04-28,75.65828993101321
59,Arkansas,2020-04-29,69.97875005786985
60,Arkansas,2020-04-30,64.99929467653247
61,Arkansas,2020-05-01,60.805278704716294
62,Arkansas,2020-05-02,57.41234930566044
63,Arkansas,2020-05-03,54.502663248815516
64,Arkansas,2020-05-04,52.153510573215925
65,Arkansas,2020-05-05,50.41399649851678
66,Arkansas,2020-05-06,49.26159312737571
67,Arkansas,2020-05-07,48.72102371174152
68,Arkansas,2020-05-08,49.033843158817724
69,Arkansas,2020-05-09,50.596232355001284
70,Arkansas,2020-05-10,53.98176168867035
71,Arkansas,2020-05-11,58.68774217811833
72,Arkansas,2020-05-12,64.70000918089609
73,Arkansas,2020-05-13,71.72901967750572
74,Arkansas,2020-05-14,79.59772681636093
75,Arkansas,2020-05-15,87.97189468516235
76,Arkansas,2020-05-16,96.39301751811475
77,Arkansas,2020-05-17,104.29120051429635
78,Arkansas,2020-05-18,111.81982837991015
79,Arkansas,2020-05-19,119.43704312320612
80,Arkansas,2020-05-20,127.10455889184547
81,Arkansas,2020-05-21,134.41881593298288
82,Arkansas,2020-05-22,140.30123307168503
83,Arkansas,2020-05-23,144.44706762700991
84,Arkansas,2020-05-24,146.7587964791627
85,Arkansas,2020-05-25,148.11415692750987
86,Arkansas,2020-05-26,149.0858921887817
87,Arkansas,2020-05-27,150.07567127214483
88,Arkansas,2020-05-28,151.32792743435562
0,California,2020-03-01,5.186407197226385
1,California,2020-03-02,6.495874512767756
2,California,2020-03-03,8.089754942686563
3,California,2020-03-04,9.804914703537944
