,state,date,trend,trend_std,ts_cluster,ts_cluster_name
1130,Indiana,2020-03-21,36.64728882366102,-1.1970311050401308,1,past peak
1131,Indiana,2020-03-22,52.964562707996855,-1.1343256826356518,1,past peak
1132,Indiana,2020-03-23,74.03718907733983,-1.0533459830223548,1,past peak
1133,Indiana,2020-03-24,101.16744978373748,-0.9490874855798728,1,past peak
1134,Indiana,2020-03-25,134.2365500960323,-0.8220067049104285,1,past peak
1135,Indiana,2020-03-26,173.0760919431019,-0.6727507755940182,1,past peak
1136,Indiana,2020-03-27,215.80014949059532,-0.5085670955051129,1,past peak
1137,Indiana,2020-03-28,256.59394833412057,-0.35180117945205186,1,past peak
1138,Indiana,2020-03-29,295.43602341623256,-0.20253551520231208,1,past peak
1139,Indiana,2020-03-30,332.96776896641,-0.05830529788883381,1,past peak
1140,Indiana,2020-03-31,369.7105053191271,0.08289284707245666,1,past peak
1141,Indiana,2020-04-01,403.5228346992429,0.21282977227752345,1,past peak
1142,Indiana,2020-04-02,433.1752972808537,0.3267808038464587,1,past peak
1143,Indiana,2020-04-03,457.82717333162725,0.42151515173961673,1,past peak
1144,Indiana,2020-04-04,478.38098644971205,0.5005011112036837,1,past peak
1145,Indiana,2020-04-05,492.1708877068786,0.5534941288717131,1,past peak
1146,Indiana,2020-04-06,499.93141481735915,0.5833169493988137,1,past peak
1147,Indiana,2020-04-07,501.2176674188136,0.5882598714374325,1,past peak
1148,Indiana,2020-04-08,493.8665244832391,0.5600102676005191,1,past peak
1149,Indiana,2020-04-09,484.3144081652668,0.5233025740960198,1,past peak
1150,Indiana,2020-04-10,471.91888921267287,0.47566800858251923,1,past peak
1151,Indiana,2020-04-11,457.77185417428706,0.4213025665276098,1,past peak
1152,Indiana,2020-04-12,442.0618000323362,0.36093062033419937,1,past peak
1153,Indiana,2020-04-13,430.4749522573124,0.31640368591982143,1,past peak
1154,Indiana,2020-04-14,430.3846501329169,0.3160566651555454,1,past peak
1155,Indiana,2020-04-15,442.78364526532096,0.36370458923156657,1,past peak
1156,Indiana,2020-04-16,459.8900303872163,0.42944247611669584,1,past peak
1157,Indiana,2020-04-17,474.21407673786825,0.484488152454899,1,past peak
